id,title,addr,addr_area,addr_sigun,cat_large,cat_middle,cat_sub,cat1,cat2,grade,review_num,ratings
128672,"진양호 공원 (진양호 전망대, 동물원)",경상남도 진주시 남강로1번길 130,경상남도,진주시,인문,휴양관광지,공원,휴양관광지|공원,인문|휴양관광지|공원,5,0,0.0
2744506,진양호호반전망대,경상남도 진주시 남강로1번길 146,경상남도,진주시,인문,건축/조형물,예술,건축/조형물|예술,인문|건축/조형물|예술,1,16,3.8
129378,진주 내촌호수마을,경상남도 진주시 대평면 금성로 422-33,경상남도,진주시,인문,체험관광지,농어촌,체험관광지|농어촌,인문|체험관광지|농어촌,4,1,0.0
1347005,진주 대암초록마을,경상남도 진주시 집현면 진산로 1141,경상남도,진주시,인문,체험관광지,농어촌,체험관광지|농어촌,인문|체험관광지|농어촌,5,3,0.0
129497,진주 음악분수대,경상남도 진주시 남강로 542,경상남도,진주시,인문,건축/조형물,강계곡,건축/조형물|강계곡,인문|건축/조형물|강계곡,5,2,4.0
126833,진주성,경상남도 진주시 남강로 626,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,5,277,4.1
1955442,진주향교,경상남도 진주시 향교로 99-3,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,2,5,0.0
2788897,진치령터널,경상남도 진주시 가좌동 857-1,경상남도,진주시,인문,건축/조형물,이색,건축/조형물|이색,인문|건축/조형물|이색,1,0,0.0
1960036,창렬사,경상남도 진주시 남강로 626,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,2,0,0.0
1956397,창렬사,충청남도 부여군 구룡면 금사남로 78,충청남도,부여군,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,2,0,0.0
1960043,청계서원(진주),경상남도 진주시 본성동,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,2,0,0.0
127113,청곡사(진주),경상남도 진주시 금산면 월아산로1440번길 138,경상남도,진주시,인문,역사관광지,종교,역사관광지|종교,인문|역사관광지|종교,3,24,5.0
126217,촉석루,경상남도 진주시 남강로 626,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,5,53,3.9
482186,총림선원(진주),경상남도 진주시 망진산길 71,경상남도,진주시,인문,역사관광지,종교,역사관광지|종교,인문|역사관광지|종교,3,0,0.0
2820706,폴링 인 진주,경상남도 진주시 범골로54번길 30-9,경상남도,진주시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,1,0,0.0
2820707,프로스트맥주협동조합 (망경동 에일맥주. 진주유등축제 흑맥주. 촉석루라거맥주. 진주석류에일맥주),경상남도 진주시 진주대로1706번길 212,경상남도,진주시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,1,0,0.0
2820208,하모예,경상남도 진주시 광제산로 368,경상남도,진주시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,1,0,0.0
126176,호국사(진주),경상남도 진주시 남강로 626-71,경상남도,진주시,인문,역사관광지,종교,역사관광지|종교,인문|역사관광지|종교,4,0,0.0
2554569,LH 토지주택박물관,경상남도 진주시 충의로 19,경상남도,진주시,인문,산업관광지,공장단지,산업관광지|공장단지,인문|산업관광지|공장단지,2,0,0.0
1622558,경상남도과학교육원,경상남도 진주시 진성면 진의로 178-35,경상남도,진주시,인문,문화시설,예술,문화시설|예술,인문|문화시설|예술,3,5,3.0
130507,경상남도문화예술회관,경상남도 진주시 강남로 215 경남문화예술회관,경상남도,진주시,인문,문화시설,예술,문화시설|예술,인문|문화시설|예술,3,4,0.0
129774,국립진주박물관,경상남도 진주시 남강로 626-35,경상남도,진주시,인문,문화시설,전통,문화시설|전통,인문|문화시설|전통,5,64,4.5
